,deployment_code,pi_code,process,public,country,task_done,first_version,last_version,start_date,end_date,start_date_jul,description,gts
wd04,wd04,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2016-07-12,MEOP-CTD_2024-03-08,03/26/0011,10/08/0011,4103,AWRU Weddell seals Davis 2011,N
awru1,awru1,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,02/12/0007,10/03/0007,2600,AWRU Weddell seals Davis 2007,N
ct149,ct149,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2021-11-26,MEOP-CTD_2024-03-08,12/20/0018,NaT,6929,UTAS ARC discovery CTD 2019,Y
ct2,ct2,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,01/20/0004,08/01/0004,1481,Macquarie CTD 2004,N
ct36,ct36,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,12/26/0008,03/01/0009,3283,Hindell CTD,N
ct38w,ct38w,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,02/21/0008,01/01/0009,2974,Weddell seals CTD 2008,Y
ct47,ct47,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,02/08/0009,08/01/0009,3327,Weddell seals CTD 2009,Y
ct6,ct6,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,01/01/0005,11/29/0005,1828,Macquarie CTD 2005,N
ct75,ct75,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,10/02/0011,01/01/0013,4293,Weddell seals CTD 2011,Y
ft24,ft24,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2021-11-26,MEOP-CTD_2024-03-08,12/20/0018,NaT,6929,ARC Discovery 2018,Y
wd1,wd1,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2015-05-31,MEOP-CTD_2024-03-08,02/14/0006,11/01/0006,2237,,
wd3,wd3,HINDELL,1,1,AUSTRALIA,,MEOP-CTD_2015-07-01,MEOP-CTD_2024-03-08,02/20/0007,06/01/0007,2608,Weddell seals CTD 2007,N
ct119,ct119,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,01/16/0016,NaT,5860,IMOS Ross Sea Weddell seals 2015,Y
ct122,ct122,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,01/01/0016,12/01/0016,5845,IMOS Kerguelen 2016,Y
ct128,ct128,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2017-11-11,MEOP-CTD_2024-03-08,11/15/0017,NaT,6529,Weddell Sea refurbished CTD 2017,Y
ct128a,ct128a,IMOS,1,1,AUSTRALIA,,MEOP-CTD_2018-04-10,MEOP-CTD_2024-03-08,03/02/0017,08/01/0017,6271,Weddell Sea refurbished CTD 2016,Y
