smru_platform_code,reference_doi,location,species
ct33-OO021-07,10.1594/PANGAEA.714646,Marion Island,
ct33-OO418-07,10.1594/PANGAEA.714654,Marion Island,
ct33-PO043-07,10.1594/PANGAEA.714652,Marion Island,
ct33-WW058-07,10.1594/PANGAEA.714647,Marion Island,
ct33-WW061-07,10.1594/PANGAEA.714648,Marion Island,
ct42-WB057-08,10.1594/PANGAEA.714663,Marion Island,
ct35x-GG380-08,10.1594/PANGAEA.714659,Marion Island,
ct35x-PO225-08,10.1594/PANGAEA.714665,Marion Island,
ct35x-WR029-08,10.1594/PANGAEA.714666,Marion Island,
ct35x-WW005-08,10.1594/PANGAEA.714664,Marion Island,
ct50-BB246-09,10.1594/PANGAEA.734605,Marion Island,
ct50-BB349-09,10.1594/PANGAEA.734606,Marion Island,
ct50-RR217-09,10.1594/PANGAEA.734604,Marion Island,
ct50-RR435-09,10.1594/PANGAEA.734607,Marion Island,
ct54-496-10,10.1594/PANGAEA.749643,King George Is,
ct54-498-10,10.1594/PANGAEA.749644,King George Is,
ct54-500-10,10.1594/PANGAEA.749648,King George Is,
ct54-501-10,10.1594/PANGAEA.749645,King George Is,
ct54-502-10,10.1594/PANGAEA.749646,King George Is,
ct54-503-10,10.1594/PANGAEA.749649,King George Is,
ct54-504-10,10.1594/PANGAEA.749650,King George Is,
ct54-505-10,10.1594/PANGAEA.749651,King George Is,
ct54-r515a-10,10.1594/PANGAEA.749653,King George Is,
ct54-r515b-10,10.1594/PANGAEA.749653,King George Is,
ct54-r674-10,10.1594/PANGAEA.749652,King George Is,
ct73-846-11,10.1594/PANGAEA.776430,Marion Island,
ct73-GG335-11,10.1594/PANGAEA.776428,Marion Island,
ct73-OO052-11,10.1594/PANGAEA.776431,Marion Island,
ct73-RR217-11,10.1594/PANGAEA.776426,Marion Island,
ct73-WW061-11,10.1594/PANGAEA.776425,Marion Island,
ct73-YY039-11,10.1594/PANGAEA.776427,Marion Island,
ct90-317-12,10.1594/PANGAEA.810550,Marion Island,
ct21-36-07,10.1594/PANGAEA.706940,Marion Island,
ct21-37-07,10.1594/PANGAEA.706944,Marion Island,
ct21-38-07,10.1594/PANGAEA.706941,Marion Island,
